chr1	500000	600000	GBR4
chr1	700000	800000	GBR1
chr1	800000	1200000	GBR2
chr1	1200000	1400000	GBR1
chr1	1400000	1600000	GBR2
chr1	1600000	1900000	GBR1
chr1	1900000	2000000	GBR3
chr1	2000000	2100000	GBR4
chr1	2100000	2300000	GBR1
chr1	2300000	2400000	GBR2
chr1	2400000	2600000	GBR1
chr1	2600000	2900000	GBR4
chr1	2900000	3000000	GBR3
chr1	3000000	3200000	GBR4
chr1	3200000	3500000	GBR3
chr1	3500000	3600000	GBR1
chr1	3600000	3800000	GBR2
chr1	3800000	3900000	GBR1
chr1	3900000	4000000	GBR6
chr1	4000000	4100000	GBR3
chr1	4100000	4300000	GBR5
chr1	4300000	4400000	GBR4
chr1	4400000	4700000	GBR5
chr1	4700000	4900000	GBR3
chr1	4900000	5900000	GBR5
chr1	5900000	6000000	GBR4
chr1	6000000	6100000	GBR1
chr1	6100000	7000000	GBR2
chr1	7000000	7400000	GBR5
chr1	7400000	7500000	GBR2
chr1	7500000	7800000	GBR3
chr1	7800000	7900000	GBR2
chr1	7900000	8000000	GBR3
chr1	8000000	8100000	GBR2
chr1	8100000	8200000	GBR3
chr1	8200000	8300000	GBR1
chr1	8300000	8400000	GBR3
chr1	8400000	8800000	GBR1
chr1	8800000	9000000	GBR2
chr1	9000000	9100000	GBR3
chr1	9100000	9500000	GBR2
chr1	9500000	9600000	GBR3
chr1	9600000	9700000	GBR2
chr1	9700000	9900000	GBR1
chr1	9900000	10500000	GBR2
chr1	10500000	10600000	GBR1
chr1	10600000	10800000	GBR2
chr1	10800000	11000000	GBR3
chr1	11000000	11400000	GBR2
chr1	11400000	11600000	GBR3
chr1	11600000	11700000	GBR5
chr1	11700000	12100000	GBR2
chr1	12100000	12300000	GBR1
chr1	12300000	12500000	GBR2
chr1	12500000	12600000	GBR4
chr1	12600000	12800000	GBR3
chr1	12800000	12900000	GBR5
chr1	12900000	13000000	GBR6
chr1	13100000	13300000	GBR6
chr1	13700000	13800000	GBR6
chr1	13800000	13900000	GBR5
chr1	13900000	14000000	GBR3
chr1	14000000	14100000	GBR1
chr1	14100000	14200000	GBR2
chr1	14200000	14400000	GBR4
chr1	14400000	14800000	GBR5
chr1	14800000	15400000	GBR3
chr1	15400000	15600000	GBR2
chr1	15600000	15700000	GBR3
chr1	15700000	16100000	GBR2
chr1	16100000	16300000	GBR1
chr1	16300000	16400000	GBR2
chr1	16400000	16500000	GBR3
chr1	16500000	16700000	GBR2
chr1	16700000	16800000	GBR1
chr1	16800000	17000000	GBR2
chr1	17000000	17100000	GBR3
chr1	17100000	17200000	GBR4
chr1	17200000	17400000	GBR2
chr1	17400000	17700000	GBR3
chr1	17700000	17800000	GBR2
chr1	17800000	18100000	GBR3
chr1	18100000	18200000	GBR5
chr1	18200000	18300000	GBR3
chr1	18300000	18400000	GBR5
chr1	18400000	18800000	GBR3
chr1	18800000	18900000	GBR5
chr1	18900000	19000000	GBR3
chr1	19000000	19100000	GBR5
chr1	19100000	19200000	GBR3
chr1	19200000	19300000	GBR2
chr1	19300000	19400000	GBR3
chr1	19400000	19700000	GBR2
chr1	19700000	19800000	GBR1
chr1	19800000	20300000	GBR2
chr1	20300000	20800000	GBR3
chr1	20800000	21200000	GBR2
chr1	21200000	21300000	GBR4
chr1	21300000	21700000	GBR2
chr1	21700000	22000000	GBR3
chr1	22000000	22200000	GBR1
chr1	22200000	22300000	GBR3
chr1	22300000	22500000	GBR1
chr1	22500000	22600000	GBR3
chr1	22600000	22700000	GBR5
chr1	22700000	22800000	GBR2
chr1	22800000	22900000	GBR4
chr1	22900000	23300000	GBR3
chr1	23300000	23400000	GBR2
chr1	23400000	23500000	GBR1
chr1	23500000	23600000	GBR3
chr1	23600000	23700000	GBR2
chr1	23700000	23800000	GBR3
chr1	23800000	23900000	GBR2
chr1	23900000	24100000	GBR1
chr1	24100000	24200000	GBR2
chr1	24200000	24300000	GBR1
chr1	24300000	24400000	GBR2
chr1	24400000	24500000	GBR4
chr1	24500000	24600000	GBR2
chr1	24600000	24700000	GBR3
chr1	24700000	24800000	GBR2
chr1	24800000	24900000	GBR3
