jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
1	vit0.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	2488	0	1.006926	0
2	vit11.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	2431	0	1.916194	0
3	vit15.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1979	0	2.837173	0
4	vit16.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1911	0	3.734033	0
5	vit17.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1808	0	4.571526	0
6	vit18.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1708	0	5.393235000000001	0
7	vit19.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1592	0	6.277255	0
8	vit20.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1463	0	7.102911	0
9	vit21.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1412	0	7.951524	0
10	vit1.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1355	0	8.779634999999999	0
11	vit2.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1349	0	9.604515	0
12	vit3.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	1339	0	10.425267	0
13	vit4.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	962	0	11.206123999999999	0
14	vit7.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	902	0	11.961509	0
15	vit5.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	883	0	12.690281	0
16	vit6.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	825	0	13.476569000000001	0
17	vit8.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	812	0	14.310868	0
18	vit9.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	781	0	15.053838	0
19	vit12.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	630	0	15.839927	0
20	vit10.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	591	0	16.676514	0
21	vit13.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	388	0	17.388362	0
22	vit14.annotdir_res100000_k6.c0b391cca3d211ecb201a4c3f04f704a	gmtkViterbi	6	353	0	18.173113999999998	0
