chr	density
chr1	0.4630545240167607
chr2	0.47142672434245564
chr3	0.48625746219592375
chr4	0.4668136034404708
chr5	0.4761404543961413
chr6	0.4857454444341327
chr7	0.4786946229987532
chr8	0.48594493930404475
chr9	0.4652331696714471
chr10	0.49070515027267264
chr11	0.49050327928478926
chr12	0.48919993007400503
chr13	0.497626953125
chr14	0.4920254037774335
chr15	0.4874491111386104
chr16	0.4832898401707622
chr17	0.49227882046414867
chr18	0.49756266666666665
chr19	0.4952327806122449
chr20	0.4991123213146006
chr21	0.48420061525474634
chr22	0.49310044116138296
