jobid	jobname	prog	num_segs	num_frames	maxvmem	cpu	exit_status
2	vit11.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	9728	0	1.664949	0
3	vit15.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	7914	0	3.092592	0
4	vit16.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	7642	0	4.573789	0
5	vit17.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	7229	0	6.045922999999999	0
6	vit18.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	6829	0	7.482898	0
7	vit19.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	6365	0	8.737889	0
8	vit20.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	5847	0	10.031036	0
9	vit21.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	5644	0	11.290887999999999	0
10	vit1.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	5418	0	12.541601	0
11	vit2.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	5391	0	13.78157	0
12	vit3.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	5352	0	15.025655	0
13	vit4.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	3844	0	16.091486	0
14	vit7.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	3604	0	17.253572	0
15	vit5.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	3532	0	18.342619	0
16	vit6.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	3298	0	19.429871	0
17	vit8.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	3247	0	20.547589000000002	0
18	vit9.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	3121	0	21.655588	0
19	vit12.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	2517	0	22.713316	0
20	vit10.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	2361	0	23.727884	0
21	vit13.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	1549	0	24.725413	0
22	vit14.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	1407	0	25.565554	0
1	vit0.annotdir_res25000_k4.ddb8e334a35111ecb1b3a4c3f04f704a	gmtkViterbi	4	9947	0	27.185948	0
