avg_length	num_domains	ge_ve	RT_score1	RT_score2	CTCF_OE	RNAPII_OE	ent	method	input_type
203146.61396974995	13157	0.2721679805356216	0.3526962619776781	0.1750223350692778	2.464616008227394	2.741681999346926	1.722403875805844	GMM	functional
248586.30952380956	10752	0.2786864044911991	0.3801218294642197	0.2054415515784569	2.520499675140831	2.7884430293265883	1.70528860920457	HMM	functional
405645.7732584611	6589	0.2371230169754902	0.3919674215664651	0.2014774066407655	2.4914306030794258	2.696589681224529	1.6477311599279476	Segway	functional
412787.6447876448	6475	0.1443104517991802	0.4120997749060908	0.1912758645970945	3.4304181880949045	3.7203649660757376	1.744145524461016	GMM	structural
717722.8786251342	3724	0.1416466356699098	0.4327455160840683	0.215435565475966	3.494157705594256	3.7673983600026473	1.7180617093338149	HMM	structural
696767.4661105318	3836	0.1650252439453811	0.4593429942288431	0.2270925778946567	3.0716295040335577	3.3044849696423464	1.6719915655111062	Segway	structural
312717.9127179127	8547	0.2222592490200761	0.3834891012770086	0.1967640757294032	3.12112672939684	3.446749696606485	1.7298074122096745	GMM	combined
349294.3021432305	7652	0.2549777048621453	0.3873319352148637	0.1969675661820804	2.850238082684947	3.11205718904122	1.6939809817700004	HMM	combined
696767.4661105318	3836	0.1649545312484964	0.4595511348810424	0.2272361233536268	3.070028689460968	3.302711293937973	1.671692278916962	Segway	combined
224115.378165353	11926	0.3077052397156675	0.3677220586906595	0.179345063625406	2.651150733411132	2.950253831138653	1.7511729245362582	GMM_GBR_chain	functional
209762.98854183016	12742	0.2672043425476288	0.341111158242164	0.162887371499096	2.418562974672784	2.679077394987305	1.6957929813647863	GMM_GBR_intra	functional
539523.6172789665	4954	0.0742523764771843	0.3119711246389166	0.1034326443194916	1.5872414829605546	1.7359847241207895	1.1670128722398334	SPIN_chain	functional
670715.181932246	3985	0.1555490291594501	0.2614238567173415	0.1619915816778314	1.557590234066873	1.6516262826686017	0.7842412568697937	SPIN_chain_intra	functional
709227.3622047245	4064	0.1526677963962526	0.3811903912156784	0.1737183274143759	3.2326763813669817	3.414614736537558	1.5737137604420766	SC	structural
225077.8947368421	11875	0.3040065495801092	0.5077444151178707	0.17414554305008445	5.403874810365838	6.127554553134702	2.889841603452656	HMM	joint
